crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,0,T1.1,T1.2,T1.3,T1.4,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T3.1,T3.2,T3.3,T3.4,T4.1,T4.2,T4.3,T4.4,T4.5,T5.1,T5.2,T5.3,T5.4,T5.5,T6.1,T6.2,T6.3,T6.4,T6.5,T7.1,T7.2,T7.3,T7.4,T7.5,S1.1,S1.2,S2.1,SF1.1,SF1.2,SF2.1,SF2.2,SM1.1,SM1.2,SM1.3,TF1.1,TF1.2,TF1.3,TF1.4,TF1.5,TF1.6,TF1.7,F1.1,F1.2,F1.3,F1.4,F1.5,F1.6,F1.7,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,F2.9,F2.10,F3.1,F3.2,F3.3,F3.4,F3.5,FM1.1,FM1.2,FM1.3,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M4.1,M4.2,MT1.1,MT1.2,MT1.3,MT1.4,MT2.1,MT2.2,MT3.1,MFT1.1,MFT1.2,MFT1.3,NA
9-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,1,"Cryptogam, herb barren","Barren areas mainly in dry landscapes of bioclimate subzones A and B. This unit is dominated by barren soils or bedrock and lacks much cover of vascular plants. Biological soil crusts cover most soils with a few scattered vascular plants, lichens, and mosses. Woody plants, sedges (Cyperaceae), and bog mosses (e.g. Sphagnum spp.) are normally absent. Horizontal plant cover is sparse (2–40% cover), and vertical structure is very low (generally < 2 cm tall), with a single layer of plants where they occur. In upland areas, vascular plant cover is generally very sparse (< 2%), often in crevices between stones or small cryoturbated polygons and hummocks (< 50 cm diameter). Snow-flush communities, composed mainly of bryophytes and biological soil crusts with cyanobacteria, often form dark streaks on the otherwise barren lands of bioclimate subzones A and B. Map unit G1 is a common inclusion in more mesic areas. B1 is also mapped in recently deglaciated areas of other subzones, and was used to map small areas of mudflats and barren wetlands on coasts and deltas in more southern subzones where plant communities are not described.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,2,"Cryptogam, barren complex",Mainly deglaciated Precambrian bedrock and glacial deposits abundantly covered by lichens and mosses and with inclusion of many lakes in bioclimate subzones C and B and in subzone D at higher elevations. Large areas with continuous cover of vascular plants are uncommon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,3,Non-carbonate mountain complex,"Arctic-alpine tundra complexes on mountains and plateaus with noncarbonate bedrock. Predominantly saxicolous lichen plant communities occur in dry azonal rocky habitats of stony ridges, boulder fields, talus, and screes. Plant communities of other typical alpine habitats (e.g., snowbeds, fellfields, springs, and meadows) are also common. Inclusions of mesic acidic vegetation occur on plateaus and valleys with finer-grained soils within elevation belts (A to E) that roughly correspond to climatically equivalent latitudinal bioclimate subzones based mainly on available summer warmth.",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,4,Carbonate mountain complex,"Arctic-alpine tundra complexes on mountains and plateaus with carbonate bedrock. The most common plant communities are those occurring in dry azonal rocky habitats of stony ridges, boulder fields, talus, and screes with predominantly saxicolous plant communities. Communities typical of other alpine habitats (e.g., snowbeds, fellfields, springs, and meadows) are also common. Larger inclusions of mesic nonacidic vegetation occur on plateaus and valleys with finer-grained soils within elevation belts (A to E) that climatically correspond to equivalent bioclimate subzones based mainly on available summer warmth.",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,5,"Cryptogam, barren, dwarf-shrub complex","Mainly deglaciated Precambrian bedrock and glacial deposits abundantly covered by lichens and mosses, intermixed with lakes and zonal dwarf- and low shrub vegetation of bioclimate subzones D and E",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,21,"Graminoid, forb, cryptogam tundra","Tundra dominated by graminoids with large components of forbs, mosses, and lichens, mainly on mesic, often hummocky, soils in more maritime portions of bioclimate subzones A and B. Horizontal plant cover is generally 5–80%, often with a large component of soils covered by biological soils crusts; the vegetation consists of a single layer generally 5–10 cm tall. In bioclimate subzone A, this unit generally occurs in more protected mesic areas with more snow, and except for the greater density of plant cover, is similar in composition to map unit B1. Sedges, woody shrubs, and bog mosses are generally absent. In bioclimate subzone B, the zonal vegetation cover is often > 75% on mesic sites and includes a mix of sedges (Cyperaceae), rushes (Juncaceae), grasses (Poaceae), forbs, prostrate dwarf shrubs (Salix spp. and Dryas spp.), lichens, and mosses. Cryptogamic crusts composed of cyanobacteria, liverworts, small mosses, and black crustose lichens are common in mesic habitats in bioclimate subzone B but not in subzone A",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,22,"Graminoid, prostrate dwarf-shrub, forb, moss tundra","Moist to dry tundra in subzone C and warmer parts (local oases) of subzone B on fine-grained, often hummocky, circumneutral soils with moderate snow. Plant cover is moderate (40–100%) and 5–15 cm tall. The diversity of plant communities is much greater than in map unit G1 and includes subpixel areas of Cassiope tetragona snowbeds, well-developed mires, and streamside communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,23,"Non-tussock sedge, dwarf-shrub, moss tundra","Areas with tundra vegetation on peaty nonacidic soils in bioclimate subzone D, where it is the zonal vegetation, and also on moist nonacidic soils in bioclimate subzones C and E. Frost boils (barren patches of cryoturbated soil) are common on silty soils (“spotted tundra” in the Russian literature). Plant cover varies from 50–100%. Plant heights are generally 10–20 cm. Hemiprostrate and erect dwarf shrubs are common, but generally do not form a closed canopy and may grow up to 40 cm high at the southern extent. Well-developed moss layers (5–20 cm thick) are common. Low-shrub (40–200 cm tall) and some tall-shrub (> 2 m) willow thickets occur as subpixel inclusions along stream margins",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,24,"Tussock-sedge, dwarf-shrub, moss tundra","Tussock tundra vegetation, mainly in bioclimate subzone E, on silty, unglaciated, acidic, ice-rich permafrost soils, especially in Beringia (NE Russia, W and N Arctic Alaska, and NW mainland Canada). Horizonal plant cover is nearly continuous (80–100% cover). Vertical plant structure includes 2–3 layers and is 20–40 cm tall. A less robust form of tussock tundra grows in subzone D on acidic sands, with smaller tussock sedges and less abundant and shorter dwarf shrubs that do no overtop the tussocks. In warmer areas the erect dwarf shrubs are dominant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec-25,david_keith ,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,31,"Prostrate dwarf-shrub, herb, lichen tundra","Dry and mesic tundra dominated by prostrate dwarf shrubs, mainly on nonacidic soils in continental and drier parts of bioclimate subzones B and C and corresponding elevational belts (which can include acidic substrates). The plant cover is dominated by prostrate dwarf shrubs (< 10 cm tall) with many forbs and lichens. The vegetation is open or patchy (20–80% cover), with plants 5–10 cm tall. Vascular plants cover about 5–25%, lichens and mosses cover 30–60%. In subzone C this vegetation is richer in vascular species, particularly sedges, grasses, and forbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
