crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,1,Dense forest,"Natural formations of the primary type, closed stand with
trees and shrubs reaching various heights between 5 and 50 m; the
tree crowns are relatively close together;
the overall canopy remains dense (coverage greater than
70%) Evergreen rainforest, semi-deciduous (mesophilic) forest, mountain forest, low mountain forest, coastal forest, dry forest",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,10,Rubber plantation,"Rubber trees in full sun, rubber trees mixed with other trees.",T7.3,Plantations,T7.3 Plantations,48
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,11,Oil palm plantation,"Agricultural plot of oil palms, arranged in an equilateral triangle 9m per side; density 143 trees per hectare. Palm grove",T7.3,Plantations,T7.3 Plantations,48
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,12,Coconut plantation,"Coconut palm grove in the coastal area, planted in rows spaced several meters apart; with a lifespan of one hundred years.",T7.3,Plantations,T7.3 Plantations,48
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,13,Cashew plantation,"Cashew tree plantation, 5-15m tall, with a spreading crown and
dark green, evergreen foliage.
Cultivated in the Sudanian zone, the cashew tree
is planted in a 10m x 10m grid, in
full sun, in light, sandy,
deep, well-drained soils.",T7.3,Plantations,T7.3 Plantations,48
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,14,Fruit plantation,"A collection of evergreen fruit tree plantations, including mango, avocado, and orange trees, on the one hand, and banana trees with leaves up to 2 meters long, on the other;
Note: the regular shape of the plots allows for their identification.
Mango, avocado, citrus (orange, lemon, etc.), banana plantation",T7.3,Plantations,T7.3 Plantations,48
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,15,Agricultural development/Other crops/Orchards/Fallow land,"Areas of other undifferentiated cultivated land and various orchards, including lowland crops and young fallows between 3 and 7 years old (generally composed of post-cultivation grass regrowth).
These crops are short-cycle and long-cycle annuals (rice, yam, maize, cassava, pineapple plantations, sugarcane, cotton, etc.).

Note: These cultivated areas are identifiable plots on satellite images by their sometimes regular geometric shape.
Bare agricultural soil, rainfed rice cultivation, yam, maize, cassava, other cereals (millet, fonio, sorghum), pineapple plantations, sugarcane, cotton plantations, post-cultivation grass regrowth, agricultural marshland, rice paddies, etc.",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,16,Wooded savannah,"Savanna on well-drained soil with a tree layer (5-20 m tall; 10-30% canopy cover); a shrub layer (2-5 m tall; less than 50% canopy cover); and a dense, continuous herbaceous layer at least 80 cm high.",NA,No Data,NA No Data,255
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,17,Shrub formations/Thickets,"Vegetation formation consisting of shrubs, less than 5m in height, scattered over a continuous herbaceous layer; and having:
- a shrub layer with at least 50% cover;
- a herbaceous layer with 10 to 100% cover;
Note: the tree layer is less than 10% cover.
This class also includes thickets, which are closed, dense formations with more than 80% cover, composed solely of shrubs less than 5m in height (a dense, young woodland).
Note: In these thickets, the grassy understory is absent or reduced to its simplest form.
Shrub savanna, fan palm savanna, swamp savanna, high-altitude meadow, coastal thicket, marshy thicket, riparian/floodplain thicket, secondary thicket",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,18,Herbaceous formations,"Natural grassy formations less than 2.5m high or short-grass growing on well-drained firm ground; woody vegetation is insignificant (no trees), consisting of only a few isolated shrubs, bushes, and subshrubs, or grouped in patches.
Grassy savanna, coastal savanna, high-altitude grassland, coastal grassland, grassy regrowth on bare soil (non-agricultural/straw stage of dys)",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
27/03/2026,Alli Lynn,2.1,394,bnetd_cotedivoire_lcov_2020,ocs2020,raster code,19,"Body of water, Courses and waterways","A collection of depressions containing water in the form of a reservoir (body of water). A linear, interconnected hydrographic network flowing towards a body of water and a wide, interconnected watercourse (rivers and waterways).",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
