crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,0,Buiten NL,Outside NL,0,No Data,No Data,0
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,1011,Bebouwd gebied,Settlement area,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,1012,Infrastructuur,Infrastructure,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,1021,Stedelijk groen,Urban greenspace,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,1022,Recreatie en (semi-)openbaar groen,Sports and recreation sites,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,111,Duin en strand,Coastal dunes and beaches,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,112,Kwelder,Coastal salt marshes,MFT1.3,Coastal saltmarshes and reedbeds,MFT1.3 Coastal saltmarshes and reedbeds,170
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,121,"Marien, estuaria en getijdengebied",Marine and transitional waters,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,21,Eenjarig akker- en tuinbouwgebied,Annual cropland,T7.1,Annual croplands,T7.1 Annual croplands,46
2024/09/04 00:00:00,Frank_Prins,2.1,68,cbs_neth_eco_2022,ESTK_NL_2022_10m_raster.tif_Band_1,raster code,22,Tijdelijk grasland,Temporary grassland,T7.1,Annual croplands,T7.1 Annual croplands,46
