crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,1,F1.1 Permanent upland streams,NA,F1.1,Permanent upland streams,F1.1 Permanent upland streams,81
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,10,F2.3 Seasonal freshwater lakes,NA,F2.3,Seasonal freshwater lakes,F2.3 Seasonal freshwater lakes,94
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,100,M4.1 Submerged artificial structures,NA,M4.1,Submerged artificial structures,M4.1 Submerged artificial structures,154
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,101,M4.2 Marine aquafarms,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,11,F2.4 Freeze-thaw freshwater lakes,NA,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,12,F2.5 Ephemeral freshwater lakes,NA,F2.5,Ephemeral freshwater lakes,F2.5 Ephemeral freshwater lakes,96
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,13,F2.6 Permanent salt and soda lakes,NA,F2.6,Permanent salt and soda lakes,F2.6 Permanent salt and soda lakes,97
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,14,F2.7 Ephemeral salt lakes,NA,F2.7,Ephemeral salt lakes,F2.7 Ephemeral salt lakes,98
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,15,F2.8 Artesian springs and oases,NA,F2.8,Artesian springs and oases,F2.8 Artesian springs and oases,99
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,16,F2.9 Geothermal pools and wetlands,NA,F2.9,Geothermal pools and wetlands,F2.9 Geothermal pools and wetlands,100
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,17,F2.10 Subglacial lakes,NA,F2.10,Subglacial lakes,F2.10 Subglacial lakes,101
9/09/2026,Alli Lynn,2.1,251,csiro_aus_eco_2025,21099,GET_MarineTerrestrial_2020_250m,raster code,18,F3.1 Large reservoirs,NA,F3.1,Large reservoirs,F3.1 Large reservoirs,107
