crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,4,NA,NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,1673,Brazil_Landcover_2022,Value,6,NA,NA,0,No data,No data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,TF1.4,Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,73
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,4,NA,NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,44500,Cambodia_Landcover_2022,Value,6,NA,NA,0,No data,No data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,4,NA,NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,2450,China_Landcover_2022,Value,6,NA,NA,0,No data,No data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,4,NA,NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Not referable,Not referable,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,89436,Ecuador_Landcover_2022,Value,6,NA,NA,0,No data,No data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,76792,ElSalvador_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
