crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,1,NA,NA,T7.3,Plantations,T7.3 Plantations,48
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,2,NA,NA,T7.1,Annual croplands,T7.1 Annual croplands,46
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,3,NA,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,4,NA,NA,F3.1,Large reservoirs,F3.1 Large reservoirs,107
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,5,NA,NA,F3.2,Constructed lacustrine wetlands,F3.2 Constructed lacustrine wetlands,108
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,6,NA,NA,T1.2,Tropical/Subtropical dry forests and thickets,T1.2 Tropical/Subtropical dry forests and thickets,2
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,7,NA,NA,T2.4,Warm temperate laurophyll forests,T2.4 Warm temperate laurophyll forests,10
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,8,NA,NA,T4.1,Trophic savannas,T4.1 Trophic savannas,22
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,9,NA,NA,T4.2,Pyric tussock savannas,T4.2 Pyric tussock savannas,23
11-Dec-25,Eswatini National Trust Commission,v2.1,257,entc_eswatini_eco_2025,Eswatini_Raster_100m,NA,10,NA,NA,T4.5,Temperate subhumid grasslands,T4.5 Temperate subhumid grasslands,26
