crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Aa,Aluviall Open Ombrophilous Forest,No further information,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Aab,Aluviall Open Ombrophilous Forest with bamboos,No further information,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Aac,Aluviall Open Ombrophilous Forest with lianas,No further information,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Aap,Aluviall Open Ombrophilous Forest with palm trees,No further information,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ab,Lowland Open Ombrophilous Forest,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Abb,Lowland Open Ombrophilous Forest with bamboos,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Abc,Lowland Open Ombrophilous Forest with lianas,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Abp,Lowland Open Ombrophilous Forest with palm trees,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ac,Agriculture,No further information,T7.1,Annual croplands,T7.1 Annual croplands,46
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Acc,Agriculture with Cyclical Crops,No further information,T7.1,Annual croplands,T7.1 Annual croplands,46
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Acp,Agriculture with Permanent Crops,No further information,T7.3,Plantations,T7.3 Plantations,48
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ag,Agriculture,No further information,NA,No Data,No Data,0
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ag,Agriculture,No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ai,Indiscriminate,No further information,NA,No Data,No Data,0
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ai,Indiscriminate,No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/10 00:00:00,Naema_GrosDubois,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ap,Pastures,No further information,T7.2,Sown pastures and fields,T7.2 Sown pastures and fields,47
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ar,Rocky Outcrops,No further information,NA,No Data,No Data,0
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Ar,Rocky Outcrops,No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,As,Submontane Open Ombrophilous Forest,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Asb,Submontane Open Ombrophilous Forest with bamboo,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
2024/09/10 00:00:00,IBGE_team,2.1,138,ibge_brazil_veg_2021,vege_area,clas_domi,Asc,Submontane Open Ombrophilous Forest with lianas,No further information,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
