crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,1,L1.1 Eyðimelavist,"Extensive, rather dry, rocky highland plains on flat or sloping land. The surface is mostly sand and pumice, but in some places frost hemlocks are widespread. There is a lot of driftwood and sand drift. The overall vegetation cover is very low. Mosses in crevices and in the shelter of rocks, but scabrous lichens and sedges on rocks.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,10,L4.1 Eyravist,"Wet to dry riverbeds with glacial and glacial channels and meltwater channels. The surface is slightly sloping and rather smooth but unstable due to the presence and encroachment of water. Vegetation cover is very low and the vegetation is very low-growing. Vegetation is denser where the water recedes and encroachment is less, especially the moss Racomitrium ericoides which forms the greatest cover there.",NA,No Data,NA No Data,255
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,108,L13.1 Jöklar og urðarjöklar,"Areas where the surface is covered with ice all year round or nearly so; glaciers, ice caps, glaciers, crevasses and glacier remnants (glaciers) (H4.2). Also crevasses and rock outcrops and ledges on top of glacial ice (H4.3).",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,11,L5.1 Hélumosavist,"Very well-vegetated land, flat to sloping, dry to clayey, in some places somewhat rocky with a high organic soil content supported by helmoss ( Anthelia juratzkana ). Vegetation cover is variable, alternating with fully vegetated areas and bare ground. Vegetation is very low-growing and shaped by snowdrifts. The cover of vascular plants and especially lichens is small, but the cover of the moss melagambra ( Racomitrium ericoides ) is considerable in some places. The habitat is found mainly in depressions in mountainous areas and on river banks in snowy areas.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,12,L5.2 Melagambravist,"Well-developed to fully vegetated mossy ground on slopes, slopes and on undulating land in rainy or humid areas to the mountains. Vegetation is characterized by the moss melagambra ( Racomitrium ericoides ), which forms a thin to continuous but loose vegetation layer. The organic soil cover is also extensive. The surface is quite rocky but the substrate is uneven; gravel, sand, pumice and tuff. Vegetation is generally very low-growing and sparsely vegetated.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,122,L1.6 Landmelhólavist,"A low-sloping, dry sandy area inland with 1–3 m high sedge mounds. Between the mounds are gravel or sand. The surface is very unstable because sand blows from one place and accumulates in another under the shelter of plants. Vegetation is rather sparse and shaped by sand drift. Vascular plants, especially sedge and meadowsweet, are completely dominant. Mosses and lichens are hardly found.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,13,L5.3 Hraungambravist,"The habitat is characterized by a high cover of lava sphagnum. It is found on hilly ridges, both on heaths and in lowlands, especially where there is little snow. It is generally quite well overgrown and the overall moss cover is high. The cover of vascular plants is considerable and the lichen cover is significant, especially the cover of reindeer sedges, which in many places give the habitat its character. The land is quite rocky in some places and the rocks protrude from the moss. Vegetation is generally very short.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,130,L8.7 Rimamýravist,"Extensive heathland bogs with a distinctive pattern of long tussock beds (rima) and pre-wetted floodplains between them that lie across or in a slight bend from the land slope. Ponds and small ponds in the depressions. Water mostly originates from higher ground around, flows down from the slope, is rather mineral-rich and the bogs are therefore quite fertile. Peat and sedge vegetation grows on the ridges, while floodplain vegetation grows in the depressions. The land is very well vegetated and the vegetation is tall. Vascular plant cover is rather sparse, moss is abundant in the sedges and dominant, especially on the ridges, there are very few lichens.",TF1.7,Boreal and temperate fens,TF1.7 Boreal and temperate fens,76
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,14,L6.2 Fléttuhraunavist,"Slightly to very well-vegetated, gently sloping apal and helluhava, mostly free of soft sand and pumice on the surface. Vegetation is very low (<5 cm) and is characterized by sphagnum lichens ( Stereocaulon sp.) and organic soil cover (mostly helmoss) which gives the lavas a special appearance. The ecosystem is found both in areas with high rainfall in the south of the country where the mosses melagambi ( Racomitrium ericoides ) and lava sphagnum ( R. lanuginosum ) are prominent in the cover and in drier areas in the north where sphagnum lichens and organic soil cover dominate. Vascular plant cover is sparse.",T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,15,L6.1 Eyðihraunavist,"Slightly vegetated, porous lava, from modern times. The lavas are generally low-sloping slab lavas or apal lavas, in some places sand and pumice-rich. Stability is variable and is determined by sand and pumice on the surface. Vegetation cover is variable but generally very low. Vegetation is low-growing primitive vegetation with vascular plants, mosses and lichens having a similar cover.",T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,150,L14.1 Þéttbýli og annað manngert land,"Buildings and related structures; cities, towns, villages, industrial areas, power plants, roads, ports and airports, waste disposal areas, mines, etc.",T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,152,L11 Birkiskógur,"Low-growing (tallest trees >1m), discontinuous forests and thickets of birch and heather, on rather dry to clayey land, on lava fields, moors, bogs, hollows and on landslide-eroded slopes. The surface is uneven and in many places quite uneven. The undergrowth is very dense, the birch crown is sparse, the cover of vascular plants is quite extensive, mosses are prominent in the black layer and there is a small amount of lichen. The soil is rather shallow and rocks or pebbles are common.",T3.3,Cool temperate heathlands,T3.3 Cool temperate heathlands,18
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,153,L14.3 Skógrækt,"Silvicultural areas with old or young cultivated forests, where foreign conifers and/or deciduous trees (eg Siberian larch, Scots pine, Sitka spruce, Alaskan aspen) or native tree species (birch) have been planted in sparsely forested or forestless areas.",T7.3,Plantations,T7.3 Plantations,48
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,16,L6.4 Lynghraunavist,"Very well-vegetated modern lava, usually low-sloping apel or slab lava. Extensive cover of vascular plants, especially heather species, and mosses (lavender moss) and lichens. Surface stability is uneven, vegetation cover is variable and erosion scars are prominent in some places. Vegetation is low.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,160,L14.4 Alaskalúpína,"Very lush flowerbed of Alaskan lupine, grasses and flowering plants. Found increasingly on protected land where lupine has been sown or planted and it spreads through mud, loam, landslides, hollows and heather peat. The land is well overgrown, vegetation is tall, vascular plants are dominant, considerable moss layer in the soil where rainfall is high.",NA,No Data,NA No Data,255
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,161,L14.5 Uppgræðslur,"Areas where grasses have been sown for revegetation and fertilizer spread, on sand, gravel, roadsides, and other disturbed areas. Grasses generally persist with repeated fertilization but wither and disappear after it is stopped within a few years. Where conditions are favorable, vegetation develops into moss and peatland over the years.",NA,No Data,NA No Data,255
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,162,L14.6 Skógarkerfill og fleiri áþekkar tegundir,"A very lush flowerbed, mainly formed by forest nettle, to a lesser extent, common nettle or other invasive, nitrogen-loving species. Found increasingly on protected land near urban areas, in roadsides, old fields and lupine fields where the soil is fertile and rather moist. The land is very well vegetated, the vegetation is very tall, dense and sparsely varied.",NA,No Data,NA No Data,255
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,17,L6.3 Mosahraunavist,"Mossy, porous lava from modern times, slightly sloping, slab-on-grade lava. The surface is generally stable and there is little loose sand or pumice. The total vegetation cover is on average high but varies between well-vegetated depressions and less vegetated lava mounds and ridges. Moss is completely dominant in the vegetation cover, mostly lava beds that characterize the habitat. Vascular plants are sparse and lichens are few. Vegetation is very low-growing.",T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
Oct 17 2025,Alli Lynn and Tess Harmer,2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Value,175,F Fjöruvistir,"The beach bed is characterized by hard rocks and boulders. This, together with the surf, determines a lot about the living conditions and how the ecosystem is divided into sub-categories. Other physical factors that shape the ecosystem are the slope of the beach, the difference between high and low tide, sea temperature and salinity. In pebble and boulder beaches, algae have better stability and are more resistant to surf than in beaches where the substrate is looser. Larger algae only grow where the substrate is firm enough and does not topple over in a surf. The more the surf, the more stable the substrate must be for algae to thrive. They also do not thrive well in pebble and boulder beaches where loose gravel and sand are washed up by the waves and scrape vegetation from the substrate. However, small annual algae can grow temporarily in such places while the sea is calm in the summer. In very rough and rocky beaches, where little algae grows, scabbardfish are often conspicuous.",NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
