crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,12,Herbaceous formation,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,15,Pasture,"Areas of pasture, planted or natural, linked to livestock activity.",T7.2,Sown pastures and fields,T7.2 Sown pastures and fields,47
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,21,Mosaic of agriculture and pasture,"Undifferentiated agricultural areas encompassing both agriculture and pastureland, as well as urban green spaces. Depending on the biome, the predominant crops are: in the Equatorial Dry Forest and Coastal Desert, cereals, vegetables, and fruit trees; in the Amazon, livestock, cereals, and oil palm; and in the Andes, livestock, cereals, tubers, and vegetables in inter-Andean valleys.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,23,Beach,Areas with sandy cover or no vegetation that is transported by rivers,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,24,Urban infrastructure,This unit consists of the spaces covered by Urban infrastructure and all associated green areas and communication routes. Excludes small-scale rural infrastructure that is not visible at the resolution of Landsat images,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,25,Other anthropogenic non-vegetated area,"Anthropogenic areas with little or no vegetation. This includes crop transition areas, clearing, exposed rock/soil in areas of anthropogenic intervention, urban and road expansion areas, and dirt roads.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,27,Not observed,NA,0,No data,No data,0
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,3,Forest,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,30,Mining,It includes the areas where materials are extracted or accumulated from open-pit mining and river mining.,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,31,Aquaculture,Artificial bodies of water intended for shrimp farming using seawater. This structure consists of a series of adjacent pools and is therefore characterized by a regular geometric pattern,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,33,"River, lake, or ocean","It is any body of water found on the Earth's surface, whether natural or artificial. It includes rivers, lakes, dams, reservoirs, and other bodies of water.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,34,Glacier,"The ice and/or snow cover that forms in the Andes Mountains from 4,800 to 6,768 meters above sea level. It is a large mass of ice resulting from the accumulation, compaction, and recrystallization of snow over thousands of years. It is the main source of water resources for the country's river basins.",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,35,Oil palm,"Areas where the original cover has been modified or replaced by permanent oil palm crops, mainly of the species Elaeis guineensis.",T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,4,Dry forest,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,40,Rice,"Areas where the original cover has been modified or replaced by permanent rice crops, mainly of the species Oryza sativa.",F3.3,Rice paddies,F3.3 Rice paddies,109
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,5,Mangrove,Dense evergreen tree cover that grows in saline or brackish coastal waters,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,51,Lowland flooded grassland,"Floodplain vegetation cover (grasslands and hydrophytic savannas) on hydromorphic soils. After prolonged flooding recedes, a dense, low-lying herbaceous carpet emerges. Includes the palm savannas of the Pampas del Heath.",TF1.4,Seasonal floodplain marshes,TF1.4 Seasonal floodplain marshes,73
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,52,Coastal salt flat,Stationary natural areas resulting from the accumulation of salts due to evaporation and/or infiltration of seawater on the coast.,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,6,Flooded forest,"Tree cover of the floodplain and floodable terraces (seasonal or permanent). Developed in poorly drained soils with abundant organic matter, it is dominated by palm trees along with species such as ""renacales"" and ""pungales""",TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,61,Salt flat,"High Andean wetland (>3000 m above sea level) where evaporation exceeds precipitation, accumulating salts transported by runoff, wind, or groundwater. It may contain lagoons or springs.",F2.7,Ephemeral salt lakes,F2.7 Ephemeral salt lakes,98
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,66,Shrubland and other shrub vegetation,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,68,Other natural non-vegetated area,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,70,Coastal hill,NA,NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,82,High andean flooded grassland,"Evergreen, compact and cushion-like vegetation, located in valley bottoms, volcanic cones and high Andean plains (>3800 m above sea level) on permanently flooded and poorly drained soils.",NA,Not referable,Not referable,255
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,9,Planted forest,"Plantations of exotic species (Pinus sp. and Eucalyptus sp.) with specific design and purposes (such as production), located in forestry-suitable lands of the Andean region between 3000 and 3800 meters above sea level",T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Alli Lynn,2.1,483,mapb_peru_lcov_2026,61775,peru_coverage-col4_2025,raster code,92,Rocky surface,"Naturally exposed rocks without soil cover, with rock-dwelling vegetation and steep slopes. They are found mainly in periglacial zones or stone forests",T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
