crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Wetland,11,Flooded grasslands and swampy areas,"Predominantly native herbaceous natural vegetation influenced by excess water. It occupies hydromorphic soils, which are permanently or temporarily flooded. It includes wetlands, estuaries and shores of lagoons and other bodies of water with typically hygrophilous vegetation, with aquatic and marsh herbaceous plants, which occupy plains and depressions that remain flooded for brief (months) or extended periods (years).",NA,Not referable,Not referable,255
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Grassland,12,Grassland,"Natural herbaceous vegetation, or naturalized (i.e. that does not require human intervention to maintain itself for a long time). In general, it contains a mixture of grasses and herbaceous dicotyledons, or subshrubs and occasionally woody plants with a coverage of less than 20%. In general, there is dominance of native species over established or naturalized exotics. Its physiognomy and botanical composition are influenced by edaphic-topographic gradients and pastoral use. It occupies deep or shallow soils, up to very flat and rocky, well-drained (psamophilic), poorly drained (humid, with notable presence of sedges), and under saline influence (halophilic). In general, it is used for livestock purposes.",T4.5,Temperate subhumid grasslands,T4.5 Temperate subhumid grasslands,26
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Pasture,15,Pasture,"Herbaceous perennial species crops , which persists for more than one year. Comprises generally exotic grasses and legumes. It requires human intervention to remain as such over time.",T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Agriculture,19,Agriculture,"Mostly represented by herbaceous annual species crops, which have been planted and harvested during a one-year period. Comprises extensive grain crops, annual greening and horticulture. Also included are areas with a rest period between agricultural plantings (fallow).",T7.1,Annual croplands,T7.1 Annual croplands,46
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Non vegetated area,22,Non-vegetated area,"Area with vegetation cover of less than 5%, with beaches and dunes (bright white sandy ridges, where there is no predominance of vegetation of any type), with urban and rural infrastructure (with a predominance of non-vegetated surfaces such as buildings and asphalt, excluding situations of vegetation in settlements such as trees or pastures), with mining activity (such as quarries, open pit mining, without the presence of water) and/or with rocky outcrops (rock naturally exposed on the surface without vegetation cover).",0,No data,No data,0
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Forest formation,3,Closed forest and closed shrubland,"Natural woody vegetation with a continuous canopy of trees or shrubs, with crowns that touch or are slightly separated with a coverage greater than 65%. Some areas can include a mixture with exotic naturalized species.",T4.4,Temperate woodlands,T4.4 Temperate woodlands,25
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,"River, lake or ocean",33,Water body,"Area with permanent presence of water on the surface. It includes streams, rivers, oceans, lagoons, natural and artificial lakes.",0,No data,No data,0
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Pinus plantation,79,Pinus plantation,Cultivation of woody tree species of the genus Pinus,T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Eucalyptus plantation,80,Eucaliptus plantation,Cultivation of woody species of the genus Eucalyptus,T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Tess_Harmer,2.1,486,mapbiomas-uruguay-collection-30-2024.tif,68957,COLLECTION 3 - CLASSES,Other forestry uses,83,Other forestry uses,"Other forest uses in a broad sense, not contemplated in the other subclasses of forest plantations. Includes post-harvest periods between two forest cycles, as well as young forest plantations not yet distinguishable by classification algorithms.",T7.3,Plantations,T7.3 Plantations,48
