crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,F/M0.0,Open water,NA,0,No data,No data,0
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,F1.1,Permanent upland streams,NA,F1.1,Permanent upland streams,F1.1 Permanent upland streams,81
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,F2.2,Small permanent freshwater lakes,NA,F2.2,Small permanent freshwater lakes,F2.2 Small permanent freshwater lakes,93
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,F3.3,Rice paddies,NA,F3.3,Rice paddies,F3.3 Rice paddies,109
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,FM1.3,Intermittently closed and open lakes and lagoons,NA,FM1.3,Intermittently closed and open lakes and lagoons,FM1.3 Intermittently closed and open lakes and lagoons,117
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,M1.1,Seagrass meadows,NA,M1.1,Seagrass meadows,M1.1 Seagrass meadows,120
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,MFT1.2,Intertidal forests and shrublands,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,MFT1.3,Coastal saltmarshes and reedbeds,NA,MFT1.3,Coastal saltmarshes and reedbeds,MFT1.3 Coastal saltmarshes and reedbeds,170
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,MT1.1,Rocky Shorelines,NA,MT1.1,Rocky shorelines,MT1.1 Rocky shorelines,157
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,MT2.1,Coastal shrublands and grasslands,NA,MT2.1,Coastal shrublands and grasslands,MT2.1 Coastal shrublands and grasslands,163
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,MT2.2,Large seabird and pinniped colonies,NA,MT2.2,Large seabird and pinniped colonies,MT2.2 Large seabird and pinniped colonies,164
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T1.1,Tropical-subtropical lowland rainforests,NA,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T1.3,Tropical-subtropical montane rainforests,NA,T1.3,Tropical/Subtropical montane rainforests,T1.3 Tropical/Subtropical montane rainforests,3
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T2.1,Boreal and temperate high montane forests and woodlands,NA,T2.1,Boreal and temperate high montane forests and woodlands,T2.1 Boreal and temperate high montane forests and woodlands,7
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T2.2,Deciduous temperate forests,NA,T2.2,Deciduous temperate forests,T2.2 Deciduous temperate forests,8
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T2.4,Warm temperate laurophyll forests,NA,T2.4,Warm temperate laurophyll forests,T2.4 Warm temperate laurophyll forests,10
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T3.4,"Young rocky pavements, lava flows and screes",NA,T3.4,"Young rocky pavements, lava flows and screes","T3.4 Young rocky pavements, lava flows and screes",19
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T6.1,"Ice sheets, glaciers and perennial snowfields",NA,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T6.2,"Polar-alpine cliffs, screes, outcrops and lava flows",NA,T6.2,"Polar/alpine cliffs, screes, outcrops and lava flows","T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",39
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T6.4,Temperate alpine grasslands and shrublands,NA,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T7.1,Annual croplands,NA,T7.1,Annual croplands,T7.1 Annual croplands,46
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T7.2,Sown livestock pastures,NA,T7.2,Sown pastures and fields,T7.2 Sown pastures and fields,47
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T7.3,Plantations,NA,T7.3,Plantations,T7.3 Plantations,48
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T7.4,Urban and industrial ecosystems,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
7/09/2026,Naema_GrosDubois,2.1,271,nies_japan_lcov_2024,69350,xxxxxx_XXx_2026Aug25,EFG_ID,T7.5,Derived semi-natural pastures and old fields,NA,T7.5,Derived semi-natural pastures and old fields,T7.5 Derived semi-natural pastures and old fields,50
