crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,0,Miscellaneous,Any type not listed below,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,1,Continental ice sheet,Inundates areas of continental size,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,10,Ice stream,Part of an ice sheet; ice flow of higher velocity than surrounding ice masses,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,2,Icefield,Ice masses of sheet or blanket type of a thickness that is insufficient to obscure the subsurface topography,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,3,Ice cap,Dome-shaped ice masses with radial flow,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,4,Outlet glacier,"Drains an ice sheet, icefield or ice cap, usually of valley glacier form; the catchment area may not be easily defined",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,5,Valley glacier,Flows down a valley; the catchment area is well defined,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,6,Mountain glacier,"Cirque, niche or crater type, hanging glacier; includes ice aprons and groups of small units",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,7,Glacieret and snowfield,"Small ice masses of indefinite shape in hollows, river beds and on protected slopes, which has developed from snow drifting, avalanching, and/or particularly heavy accumulation in certain years; usually no marked flow pattern is visible; in existence for at least two consecutive years.",T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,8,Ice shelf,Floating ice sheet of considerable thickness attached to a coast nourished by a glacier(s); snow accumulation on its surface or bottom freezing,M2.5,Sea ice,M2.5 Sea ice,139
30/06/2026,Alli Lynn,2.1,429,nsidc_global_glacier_2023,57943,RGI2000-v7.0-G-xxx,primeclass,9,Rock glacier,Lava-stream-like debris mass containing ice in several possible forms and moving slowly downslope,T6.1,"Ice sheets, glaciers and perennial snowfields","T6.1 Ice sheets, glaciers and perennial snowfields",38
