crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Aeolian Chenopod Shrublands,Aeolian Chenopod Shrublands,No further information,T5.1,Semi-desert steppe,T5.1 Semi-desert steppe,30
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Alpine Bogs and Fens,Alpine Bogs and Fens,No further information,TF1.6,"Boreal, temperate and montane peat bogs","TF1.6 Boreal, temperate and montane peat bogs",75
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Alpine Fjaeldmarks,Alpine Fjaeldmarks,No further information,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Alpine Heaths,Alpine Heaths,No further information,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Alpine Herbfields,Alpine Herbfields,No further information,T6.4,Temperate alpine grasslands and shrublands,T6.4 Temperate alpine grasslands and shrublands,41
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Brigalow Clay Plain Woodlands,Brigalow Clay Plain Woodlands,No further information,T1.2,Tropical/Subtropical dry forests and thickets,T1.2 Tropical/Subtropical dry forests and thickets,2
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Central Gorge Dry Sclerophyll Forests,Central Gorge Dry Sclerophyll Forests,No further information,T2.6,Temperate pyric sclerophyll forests and woodlands,T2.6 Temperate pyric sclerophyll forests and woodlands,12
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Clarence Dry Sclerophyll Forests,Clarence Dry Sclerophyll Forests,No further information,T2.6,Temperate pyric sclerophyll forests and woodlands,T2.6 Temperate pyric sclerophyll forests and woodlands,12
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Cleared,Cleared,No further information,NA,No Data,No Data,0
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Cleared,Cleared,No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Coastal Dune Dry Sclerophyll Forests,Coastal Dune Dry Sclerophyll Forests,No further information,T2.6,Temperate pyric sclerophyll forests and woodlands,T2.6 Temperate pyric sclerophyll forests and woodlands,12
2024/09/09 00:00:00,David_Keith,2.1,213,nswgov_nsw_veg_2012,NSWmap_v3_03_E_3848.tif,ClassName,Coastal Floodplain Forests,Coastal Floodplain Forests,No further information,TF1.2,Subtropical/temperate forested wetlands,TF1.2 Subtropical/temperate forested wetlands,71
