crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,1,Salt marsh,Area dominated by marsh vegetation and pannes that undergo tidal flooding,MFT1.3,Coastal saltmarshes and reedbeds,MFT1.3 Coastal saltmarshes and reedbeds,170
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,11,Hard substrate,"Area with no mapped biotic ecosystem type, where the predominant substrate is hard (e.g., rocky reefs, boulders)",M1.6,Subtidal rocky reefs,M1.6 Subtidal rocky reefs,125
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,12,Mixed substrate,"Area with no mapped biotic ecosystem type, where the substrate is a mix of hard and soft substrates",NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,13,Soft substrate,"Area with no mapped biotic ecosystem type, where the predominant substrate is soft (e.g., sand or mud)",NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,2,Seagrass meadow,Area predominantly covered by seagrass,M1.1,Seagrass meadows,M1.1 Seagrass meadows,120
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,20,Plains,Areas that are predominantly flat and not mapped to a biotic or substrate class,M3.3,Abyssal plains,M3.3 Abyssal plains,145
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,21,Peaks,Areas surrounded in all directions by declines in elevation that are not mapped to a biotic or substrate class,M3.4,"Seamounts, ridges and plateaus","M3.4 Seamounts, ridges and plateaus",146
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,22,Ridges,Areas including a narrow elevated strip with declines in elevation on both sides that are not mapped to a biotic or substrate class,M3.4,"Seamounts, ridges and plateaus","M3.4 Seamounts, ridges and plateaus",146
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,23,Shoulders,Areas that are adjacent to flat areas on one side and decline in elevation on the other side that are not mapped to a biotic or substrate class,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,24,Spurs,Areas not mapped to a biotic or substrate class that are lateral ridges or tongues of land descending from a higher elevation,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,25,Slopes,Areas of steady decline in elevation that are not mapped to a biotic or substrate class,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,26,Hollows,Areas that are valleys descending to a flat area and not mapped to a biotic or substrate class,M3.2,Submarine canyons,M3.2 Submarine canyons,144
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,27,Footslopes,Areas that decline in elevation to a flat area and not mapped to a biotic or substrate class,NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,28,Valleys and canyons,Areas including strips of flat land with increases in elevation on both sides that are not mapped to a biotic or substrate class,NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,29,Pits,Areas that are surrounded by increases in elevation on all sides and not mapped to a biotic or substrate class,NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,3,Salt marsh – seagrass ecotone,Area with mixed marsh vegetation and seagrass,NA,Not referable,Not referable,255
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,4,Kelp forest,Area with extensive kelp canopy,M1.2,Kelp forests,M1.2 Kelp forests,121
28/8/26,Falko_JCU,2.1,498,statcan_can_marine_2023,52292,OCE_EOL_2023,Raster code,5,Cold water coral and sponge,Area mapped or predictively modelled as containing cold water coral or sponge,M1.5,Photo-limited marine animal forests,M1.5 Photo-limited marine animal forests,124
28/8/26,Naema_GrosDubois,2.1,498,statcan_can_marine_2023,38245,ODC_CPO_2023,Raster code,1,Abyssopelagic,Water depth greater than 4 000 metres,M2.4,Abyssopelagic ocean waters,M2.4 Abyssopelagic ocean waters,138
28/8/26,Naema_GrosDubois,2.1,498,statcan_can_marine_2023,38245,ODC_CPO_2023,Raster code,2,Bathypelagic,Water depth between 1 000 metres and 4 000 metres,M2.3,Bathypelagic ocean waters,M2.3 Bathypelagic ocean waters,137
28/8/26,Naema_GrosDubois,2.1,498,statcan_can_marine_2023,38245,ODC_CPO_2023,Raster code,3,Mesopelagic,Water depth between 200 metres and 1 000 metres,M2.2,Mesopelagic ocean water,M2.2 Mesopelagic ocean water,136
28/8/26,Naema_GrosDubois,2.1,498,statcan_can_marine_2023,38245,ODC_CPO_2023,Raster code,4,Lower epipelagic,Water depth between 50 metres and 200 metres,M2.1,Epipelagic ocean waters,M2.1 Epipelagic ocean waters,135
28/8/26,Naema_GrosDubois,2.1,498,statcan_can_marine_2023,38245,ODC_CPO_2023,Raster code,5,Surface epipelagic,Water depth less than 50 metres,M2.1,Epipelagic ocean waters,M2.1 Epipelagic ocean waters,135
