crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Keskikokoiset humusjärvet,Medium-sized humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,N/A,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,"LuTU-tyypittelyssä kuuluu lampiin, alle 10 ha","The LuTU typification includes ponds, less than 10 ha",No further information,NA,No Data,No Data,0
2024/07/10 00:00:00,N/A,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,"LuTU-tyypittelyssä kuuluu lampiin, alle 10 ha","The LuTU typification includes ponds, less than 10 ha",No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/07/10 00:00:00,N/A,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,LuTU-tyyppi ei tiedossa,LuTU type unknown,No further information,NA,No Data,No Data,0
2024/07/10 00:00:00,N/A,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,LuTU-tyyppi ei tiedossa,LuTU type unknown,No further information,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Matalat humusjärvet,Shallow humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Matalat runsashumuksiset järvet,Shallow very humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Matalat vähähumuksiset järvet,Shallow low-humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Pienet humusjärvet,Small humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Pienet ja keskikokoiset vähähumuksiset c,Small and medium-sized low-humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Pohjois-Lapin järvet,Subarctic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Runsashumuksiset järvet,Very humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Runsaskalkkiset järvet,Calcareous lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Runsasravinteiset järvet,Naturally eutrophic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
2024/07/10 00:00:00,David_Keith,2.1,174,syke_finland_eco_2018b,LuTU2018_jarvityypit,LuTUtyyppi,Suuret humusjärvet,Large humic lakes,No further information,F2.4,Freeze-thaw freshwater lakes,F2.4 Freeze-thaw freshwater lakes,95
