crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,1,Lowland forest,NA,T1.1,Tropical/Subtropical lowland rainforests,T1.1 Tropical/Subtropical lowland rainforests,1
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,10,Forest-farm mosaic,NA,T7.1,Annual croplands,T7.1 Annual croplands,46
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,11,Cropland,NA,T7.1,Annual croplands,T7.1 Annual croplands,46
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,12,Plantation,NA,T7.3,Plantations,T7.3 Plantations,48
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,13,Built-up,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,14,Mangroves,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,15,Open water,NA,NA,Not referable,Not referable,255
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,16,Ocean,NA,NA,Not referable,Not referable,255
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,17,Dry forest,NA,T1.2,Tropical/Subtropical dry forests and thickets,T1.2 Tropical/Subtropical dry forests and thickets,2
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,2,Submontane forest,NA,T1.3,Tropical/Subtropical montane rainforests,T1.3 Tropical/Subtropical montane rainforests,3
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,3,Montane forest,NA,T1.3,Tropical/Subtropical montane rainforests,T1.3 Tropical/Subtropical montane rainforests,3
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,4,Swamp forest (non-peat),NA,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,5,Peat forest,NA,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,6,Woodland,NA,T4.2,Pyric tussock savannas,T4.2 Pyric tussock savannas,23
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,7,Savanna,NA,T4.2,Pyric tussock savannas,T4.2 Pyric tussock savannas,23
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,8,Wetland,NA,TF1.3,Permanent marshes,TF1.3 Permanent marshes,72
1/07/2026,Andrew Skowno,2.1,501,ucl_congo_lcov_2012,37765,congobasin_with_dry_forest_v4_GEA,WB_value,9,Sparse vegetation,NA,T7.5,Derived semi-natural pastures and old fields,T7.5 Derived semi-natural pastures and old fields,50
