crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
9-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,1,"Cryptogam, herb barren","Barren areas mainly in dry landscapes of bioclimate subzones A and B. This unit is dominated by barren soils or bedrock and lacks much cover of vascular plants. Biological soil crusts cover most soils with a few scattered vascular plants, lichens, and mosses. Woody plants, sedges (Cyperaceae), and bog mosses (e.g. Sphagnum spp.) are normally absent. Horizontal plant cover is sparse (2–40% cover), and vertical structure is very low (generally < 2 cm tall), with a single layer of plants where they occur. In upland areas, vascular plant cover is generally very sparse (< 2%), often in crevices between stones or small cryoturbated polygons and hummocks (< 50 cm diameter). Snow-flush communities, composed mainly of bryophytes and biological soil crusts with cyanobacteria, often form dark streaks on the otherwise barren lands of bioclimate subzones A and B. Map unit G1 is a common inclusion in more mesic areas. B1 is also mapped in recently deglaciated areas of other subzones, and was used to map small areas of mudflats and barren wetlands on coasts and deltas in more southern subzones where plant communities are not described.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
10-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,2,"Cryptogam, barren complex",Mainly deglaciated Precambrian bedrock and glacial deposits abundantly covered by lichens and mosses and with inclusion of many lakes in bioclimate subzones C and B and in subzone D at higher elevations. Large areas with continuous cover of vascular plants are uncommon.,T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
14-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,21,"Graminoid, forb, cryptogam tundra","Tundra dominated by graminoids with large components of forbs, mosses, and lichens, mainly on mesic, often hummocky, soils in more maritime portions of bioclimate subzones A and B. Horizontal plant cover is generally 5–80%, often with a large component of soils covered by biological soils crusts; the vegetation consists of a single layer generally 5–10 cm tall. In bioclimate subzone A, this unit generally occurs in more protected mesic areas with more snow, and except for the greater density of plant cover, is similar in composition to map unit B1. Sedges, woody shrubs, and bog mosses are generally absent. In bioclimate subzone B, the zonal vegetation cover is often > 75% on mesic sites and includes a mix of sedges (Cyperaceae), rushes (Juncaceae), grasses (Poaceae), forbs, prostrate dwarf shrubs (Salix spp. and Dryas spp.), lichens, and mosses. Cryptogamic crusts composed of cyanobacteria, liverworts, small mosses, and black crustose lichens are common in mesic habitats in bioclimate subzone B but not in subzone A",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
15-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,22,"Graminoid, prostrate dwarf-shrub, forb, moss tundra","Moist to dry tundra in subzone C and warmer parts (local oases) of subzone B on fine-grained, often hummocky, circumneutral soils with moderate snow. Plant cover is moderate (40–100%) and 5–15 cm tall. The diversity of plant communities is much greater than in map unit G1 and includes subpixel areas of Cassiope tetragona snowbeds, well-developed mires, and streamside communities.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
16-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,23,"Non-tussock sedge, dwarf-shrub, moss tundra","Areas with tundra vegetation on peaty nonacidic soils in bioclimate subzone D, where it is the zonal vegetation, and also on moist nonacidic soils in bioclimate subzones C and E. Frost boils (barren patches of cryoturbated soil) are common on silty soils (“spotted tundra” in the Russian literature). Plant cover varies from 50–100%. Plant heights are generally 10–20 cm. Hemiprostrate and erect dwarf shrubs are common, but generally do not form a closed canopy and may grow up to 40 cm high at the southern extent. Well-developed moss layers (5–20 cm thick) are common. Low-shrub (40–200 cm tall) and some tall-shrub (> 2 m) willow thickets occur as subpixel inclusions along stream margins",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
17-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,24,"Tussock-sedge, dwarf-shrub, moss tundra","Tussock tundra vegetation, mainly in bioclimate subzone E, on silty, unglaciated, acidic, ice-rich permafrost soils, especially in Beringia (NE Russia, W and N Arctic Alaska, and NW mainland Canada). Horizonal plant cover is nearly continuous (80–100% cover). Vertical plant structure includes 2–3 layers and is 20–40 cm tall. A less robust form of tussock tundra grows in subzone D on acidic sands, with smaller tussock sedges and less abundant and shorter dwarf shrubs that do no overtop the tussocks. In warmer areas the erect dwarf shrubs are dominant.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
11-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,3,Non-carbonate mountain complex,"Arctic-alpine tundra complexes on mountains and plateaus with noncarbonate bedrock. Predominantly saxicolous lichen plant communities occur in dry azonal rocky habitats of stony ridges, boulder fields, talus, and screes. Plant communities of other typical alpine habitats (e.g., snowbeds, fellfields, springs, and meadows) are also common. Inclusions of mesic acidic vegetation occur on plateaus and valleys with finer-grained soils within elevation belts (A to E) that roughly correspond to climatically equivalent latitudinal bioclimate subzones based mainly on available summer warmth.",T6.2,"Polar/alpine cliffs, screes, outcrops and lava flows","T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",39
18-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,31,"Prostrate dwarf-shrub, herb, lichen tundra","Dry and mesic tundra dominated by prostrate dwarf shrubs, mainly on nonacidic soils in continental and drier parts of bioclimate subzones B and C and corresponding elevational belts (which can include acidic substrates). The plant cover is dominated by prostrate dwarf shrubs (< 10 cm tall) with many forbs and lichens. The vegetation is open or patchy (20–80% cover), with plants 5–10 cm tall. Vascular plants cover about 5–25%, lichens and mosses cover 30–60%. In subzone C this vegetation is richer in vascular species, particularly sedges, grasses, and forbs.",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
19-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,32,"Prostrate/hemi-prostrate dwarf-shrub, lichen tundra","Hemiprostrate, ericaceous, dwarf-shrub communities in sites with somewhat deeper than average winter snow cover. Zonal vegetation in maritime and acidic portions of bioclimate subzone C, where these communities occupy a large portion of the landscape. This type is common on siliceous bedrock of Svalbard, Greenland, Baffin Island, and Ellesmere Island. Plants cover 40–100% of the surface. The height of the plant canopy is 10–20 cm",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
20-Dec-25,david_keith,2.1,1,uf_arctic_veg_2022,raster_cavm_v1,Raster code,33,"Erect dwarf-shrub, moss tundra","Communities dominated by hemiprostrate and erect dwarf shrubs less than 40 cm tall. This is the zonal vegetation in maritime areas of bioclimate subzone D, on moist to dry acidic soils in Greenland and the Canadian Shield. Drier, lichen-rich dwarf-shrub tundras are common in the Russian Arctic and occur in vegetation complexes with lichen-covered bedrock on the Canadian mainland and Baffin Island. Sedge-tussock understory is common in Beringia. Plant cover is continuous (80–100% in moist areas) to sparse (5–50% on dry ridges).",T6.3,Polar tundra and deserts,T6.3 Polar tundra and deserts,40
