crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,1,Larger-scale cropland,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,10,Tea Plantation,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,11,Water,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,12,OilPalm,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,13,Rubber,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,14,Cashew,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,15,Cacao,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,2,Pasture,NA,T7.5,Derived semi-natural pastures and old fields,T7.5 Derived semi-natural pastures and old fields,50
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,3,Mining,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,4,Small-scale cropland,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,5,Roads,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,6,Other land with tree cover,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,7,Plantation forest,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,8,Coffee,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,NA,NA,9,Settlement,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
