crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,1,Larger-scale cropland,NA,0,No Data,No Data,0
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,10,Tea Plantation,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,11,Water,NA,0,No Data,No Data,0
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,12,OilPalm,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,13,Rubber,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,14,Cashew,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,15,Cacao,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,2,Pasture,NA,T7.5,Derived semi-natural pastures and old fields,T7.5 Derived semi-natural pastures and old fields,50
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,3,Mining,NA,0,No Data,No Data,0
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,4,Small-scale cropland,NA,0,No Data,No Data,0
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,5,Roads,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,6,Other land with tree cover,NA,0,No Data,No Data,0
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,7,Plantation forest,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,8,Coffee,NA,T7.3,Plantations,T7.3 Plantations,48
1/05/2026,Tess_Harmer,2.1,428,wag_africa_luse_2024,LandUseFollowingDeforestation_dl_30m_20010101_20201231_af,raster code,9,Settlement,NA,T7.4,Urban and industrial ecosystems,T7.4 Urban and industrial ecosystems,49
