crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Canyon,Canyon in Delagoa Ecoregion (steep-walled valleys with V-shaped cros sections),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Coral Reefs,Coral Reefs in Delagoa Ecoregion (live reefs or algae),NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Estuary,Estuaries & outflows in Delagoa Ecoregion (areas within 2.5km buffer from rivermouth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Lower Shelf,Lower Shelf waters in Delagoa Ecoregion (100-150m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Microalgal Mats,Microalgal Mats in Delagoa Ecoregion (visible accumulations of microscopic algae in sandy sediments),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Mid Shelf,Mid Shelf waters in Delagoa Ecoregion (40-100m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Rock,Rock in Delagoa Ecoregion (exposed hardbottom area with few corals),NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Rubble,"Rubble in Delagoa Ecoregion (loose, rough fragments of broken coral)",NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Seagrass,Seagrass in Delagoa Ecoregion,NA,M1.1,Seagrass meadows,M1.1 Seagrass meadows,120
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Shelf Edge,Shelf Edge waters in Delagoa Ecoregion (150 - 500m depth),NA,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Shore (300m buffer),Shore waters in Delagoa Ecoregion (300m buffer from shore),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Delagoa Upper Shelf,Upper Shelf waters in Delagoa Ecoregion (0-40m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Canyon,Canyon in East Africa Ecoregion (steep-walled valleys with V-shaped cross sections),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Coral Reefs,Coral Reefs in East Africa Ecoregion (live reefs or algae),NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Estuary,Estuaries & outflows in East Africa Ecoregion (areas within 2.5km buffer from rivermouth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Lower Shelf,Lower Shelf waters in East Africa Ecoregion (100-150m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Microalgal Mats,Microalgal Mats in East Africa Ecoregion (visible accumulations of microscopic algae in sandy sediments),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,East Africa Mid Shelf,Mid Shelf waters in East Africa Ecoregion (40-100m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
